id,term,category_parent,category_sub,name,professor,credit
30011,Ｓ１,総合科目,Ｌ（言語・コミュニケーション）,日本語上級,宇佐美 洋,1.0
30053,Ｓ１,基礎科目,物質科学,物性化学,北條 博彦,2.0
30068,Ｓ１,基礎科目,物質科学,物性化学,横田 泰之,2.0
30070,Ｓ１,基礎科目,物質科学,物性化学,廣瀬 靖,2.0
30073,Ｓ１,基礎科目,物質科学,物性化学,西川 昌輝,2.0
30078,Ｓ１,基礎科目,数理科学,数理科学基礎,辻 雄,2.0
30079,Ｓ１,基礎科目,数理科学,数理科学基礎,金井 雅彦,2.0
30080,Ｓ１,基礎科目,物質科学,物性化学,青木 優,2.0
30595,Ｓ１,基礎科目,数理科学,数理科学基礎,田中 公,2.0
31304,Ｓ１,総合科目,Ｅ（物質・生命）,物性化学,横田 泰之,2.0
31305,Ｓ１,総合科目,Ｅ（物質・生命）,物性化学,北條 博彦,2.0
31306,Ｓ１,総合科目,Ｅ（物質・生命）,物性化学,廣瀬 靖,2.0
31307,Ｓ１,総合科目,Ｅ（物質・生命）,物性化学,西川 昌輝,2.0
31308,Ｓ１,総合科目,Ｅ（物質・生命）,物性化学,青木 優,2.0
31825,Ｓ１,基礎科目,数理科学,数理科学基礎,河澄 響矢,2.0
31826,Ｓ１,基礎科目,数理科学,数理科学基礎,緒方 芳子,2.0
31827,Ｓ１,基礎科目,数理科学,数理科学基礎,白石 潤一,2.0
31832,Ｓ１,総合科目,Ｆ（数理・情報）,数理科学基礎,辻 雄,2.0
31833,Ｓ１,総合科目,Ｆ（数理・情報）,数理科学基礎,河澄 響矢,2.0
31834,Ｓ１,総合科目,Ｆ（数理・情報）,数理科学基礎,白石 潤一,2.0
31835,Ｓ１,総合科目,Ｆ（数理・情報）,数理科学基礎,金井 雅彦,2.0
31836,Ｓ１,総合科目,Ｆ（数理・情報）,数理科学基礎,田中 公,2.0
31837,Ｓ１,総合科目,Ｆ（数理・情報）,数理科学基礎,緒方 芳子,2.0
30097,Ｓ１,基礎科目,基礎実験,基礎実験Ⅲ(化学),実験担当,1.0
30131,Ｓ１,基礎科目,物質科学,物性化学,竹中 康将,2.0
30133,Ｓ１,基礎科目,物質科学,物性化学,内田 さやか,2.0
30137,Ｓ１,基礎科目,物質科学,物性化学,吉本 敬太郎,2.0
30140,Ｓ１,基礎科目,数理科学,数理科学基礎演習,牛腸 徹,1.0
30142,Ｓ１,基礎科目,数理科学,数理科学基礎演習,緒方 芳子,1.0
30143,Ｓ１,基礎科目,数理科学,数理科学基礎演習,辻 雄,1.0
30144,Ｓ１,基礎科目,数理科学,数理科学基礎演習,金井 雅彦,1.0
30145,Ｓ１,基礎科目,数理科学,数理科学基礎演習,鮑 園園,1.0
30146,Ｓ１,基礎科目,数理科学,数理科学基礎演習,山本 宏子,1.0
31312,Ｓ１,総合科目,Ｅ（物質・生命）,物性化学,吉本 敬太郎,2.0
31313,Ｓ１,総合科目,Ｅ（物質・生命）,物性化学,竹中 康将,2.0
31314,Ｓ１,総合科目,Ｅ（物質・生命）,物性化学,内田 さやか,2.0
31316,Ｓ１,要求科目,基礎実験,基礎実験Ⅲ(化学),実験担当,1.0
31852,Ｓ１,基礎科目,基礎実験,生命科学実験,山元 孝佳,2.0
30198,Ｓ１,基礎科目,生命科学,生命科学,矢島 潤一郎,1.0
30209,Ｓ１,基礎科目,生命科学,生命科学,佐藤 健,1.0
30211,Ｓ１,基礎科目,数理科学,数理科学基礎,高山 茂晴,2.0
30213,Ｓ１,基礎科目,数理科学,数理科学基礎,WILLOX RALPH,2.0
30214,Ｓ１,基礎科目,数理科学,数理科学基礎,吉野 太郎,2.0
30215,Ｓ１,基礎科目,数理科学,数理科学基礎,斎藤 毅,2.0
30961,Ｓ１,基礎科目,数理科学,数理科学基礎,寺田 至,2.0
31322,Ｓ１,総合科目,Ｅ（物質・生命）,生命科学,矢島 潤一郎,1.0
31323,Ｓ１,総合科目,Ｅ（物質・生命）,生命科学,佐藤 健,1.0
31838,Ｓ１,総合科目,Ｆ（数理・情報）,数理科学基礎,寺田 至,2.0
31839,Ｓ１,総合科目,Ｆ（数理・情報）,数理科学基礎,斎藤 毅,2.0
31840,Ｓ１,総合科目,Ｆ（数理・情報）,数理科学基礎,高山 茂晴,2.0
31841,Ｓ１,総合科目,Ｆ（数理・情報）,数理科学基礎,WILLOX RALPH,2.0
31842,Ｓ１,総合科目,Ｆ（数理・情報）,数理科学基礎,吉野 太郎,2.0
30250,Ｓ１,総合科目,Ｌ（言語・コミュニケーション）,日本語中級,大久保 雅子,1.0
31653,Ｓ１,主題科目,学術フロンティア講義,学術フロンティア講義 (これからの食糧生産を支える植物・土壌科学),妹尾 啓史,1.0
30298,Ｓ１,総合科目,Ｌ（言語・コミュニケーション）,日本語上級,宇佐美 洋,1.0
30356,Ｓ１,総合科目,Ｄ（人間・環境）,システム論,福永 アレックス,2.0
30368,Ｓ１,総合科目,Ｆ（数理・情報）,計算機システム概論,森畑 明昌,2.0
30370,Ｓ１,基礎科目,既修外国語,日本語ｲﾝﾃﾝｼﾌﾞⅢ(PEAK),ボイクマン 総子,2.0
30373,Ｓ１,基礎科目,既修外国語,日本語ｲﾝﾃﾝｼﾌﾞⅢ(PEAK),瀬尾 悠希子,2.0
31085,Ｓ１,基礎科目,既修外国語,日本語ｲﾝﾃﾝｼﾌﾞⅢ(PEAK),瀬尾 悠希子,2.0
31086,Ｓ１,基礎科目,初修外国語,日本語ｲﾝﾃﾝｼﾌﾞⅢ(PEAK),ボイクマン 総子,2.0
31089,Ｓ１,基礎科目,初修外国語,日本語ｲﾝﾃﾝｼﾌﾞⅢ(PEAK),根本 愛子,2.0
31560,Ｓ１,総合科目,Ｄ（人間・環境）,生体医工学基礎Ⅰ,高井 まどか,1.0
31570,Ｓ１,総合科目,Ｆ（数理・情報）,モデリングとシミュレーション基礎Ⅰ,菅野 太郎,2.0
31681,Ｓ１,主題科目,全学体験ゼミナール,全学体験ゼミナール (多変数関数の微分),清野 和彦,2.0
30374,Ｓ１,基礎科目,既修外国語,英語二列Ｓ（FLOW）,ナオミ バーマン,1.0
30375,Ｓ１,基礎科目,既修外国語,英語二列Ｓ（FLOW）,ホールマン フランシス キャンドラー,1.0
30376,Ｓ１,基礎科目,既修外国語,英語二列Ｓ（FLOW）,ハンセン キャサリン,1.0
30377,Ｓ１,基礎科目,既修外国語,英語二列Ｓ（FLOW）,BORDILOVSKAYA Anna,1.0
30378,Ｓ１,基礎科目,既修外国語,英語二列Ｓ（FLOW）,TSAI Aurora Marjorie,1.0
30379,Ｓ１,基礎科目,既修外国語,英語二列Ｓ（FLOW）,BROOKS Britton,1.0
30380,Ｓ１,基礎科目,既修外国語,英語二列Ｓ（FLOW）,マニナン ジョン,1.0
30381,Ｓ１,基礎科目,既修外国語,英語二列Ｓ（FLOW）,PAZDZIORA JOHN PATRICK,1.0
30382,Ｓ１,基礎科目,既修外国語,英語二列Ｓ（FLOW）,沈 尚玉,1.0
30383,Ｓ１,基礎科目,既修外国語,英語二列Ｓ（FLOW）,VANDEN BUSSCHE Eric Armand,1.0
30384,Ｓ１,基礎科目,既修外国語,英語二列Ｓ（FLOW）,AKINDELE Tito,1.0
30385,Ｓ１,基礎科目,既修外国語,英語二列Ｓ（FLOW）,DIETZ Richard,1.0
30386,Ｓ１,基礎科目,既修外国語,英語二列Ｓ（FLOW）,Kartika Diana,1.0
30387,Ｓ１,基礎科目,既修外国語,英語二列Ｓ（FLOW）,モレノ ペナランダ ラケル,1.0
30388,Ｓ１,基礎科目,既修外国語,英語二列Ｓ（FLOW）,テラシマ アレクサンドラ,1.0
30393,Ｓ１,総合科目,Ｌ（言語・コミュニケーション）,英語中級（クラス指定ターム型）,牛村 圭,1.0
30395,Ｓ１,総合科目,Ｌ（言語・コミュニケーション）,英語中級（クラス指定ターム型）,佐原 彩子,1.0
